City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Maningrida,AU,77.5,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
410,Meulaboh,ID,76.44,broken clouds,4.1363,96.1285,Kost Pria
434,Nueva Loja,EC,75.2,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
438,La Macarena,CO,89.53,broken clouds,2.1837,-73.7849,Casa Hotel Real
443,Bambanglipuro,ID,76.35,overcast clouds,-7.95,110.2833,Puri Brata
445,Taoudenni,ML,76.73,scattered clouds,22.6783,-3.9836,
447,Aitape,PG,78.15,moderate rain,-3.1374,142.3475,
450,Nauta,PE,82.58,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
453,Ipixuna,BR,80.6,broken clouds,-1.7625,-48.8043,Casa da Oscarina
458,Pimenta Bueno,BR,87.3,very heavy rain,-11.6725,-61.1936,Cristalina Palace Hotel
461,Altamira,BR,89.6,scattered clouds,-3.2033,-52.2064,Requinte Hotel
462,San Pedro,PH,78.8,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
463,Santa Cruz,BO,86.0,broken clouds,-17.8,-63.1667,Hotel Cortez
468,Sokoto,NG,76.98,clear sky,13.0609,5.239,Grand Ibro Hotel
469,El Alto,PE,82.4,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
471,Kalmunai,LK,75.51,overcast clouds,7.4167,81.8167,VS Villa
475,Nicolas Bravo,MX,78.8,scattered clouds,18.45,-88.9167,
476,Kieta,PG,80.91,clear sky,-6.2167,155.6333,
477,Vila Velha,BR,84.2,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
478,Abonnema,NG,82.4,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
480,Luba,GQ,80.6,few clouds,3.4568,8.5547,
482,Sungairaya,ID,75.63,light rain,0.7,108.9,Mess P.Milu
484,Angoche,MZ,80.51,overcast clouds,-16.2325,39.9086,Guest House HESADA
503,Eydhafushi,MV,81.43,overcast clouds,5.1033,73.0708,Soneva Fushi
504,Grand-Santi,GF,78.49,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
505,Kloulklubed,PW,83.3,clear sky,7.0419,134.2556,Storyboard Beach Resort
510,Huarmey,PE,75.09,overcast clouds,-10.0681,-78.1522,Hotel Miramar
511,Bongor,TD,77.04,broken clouds,10.2806,15.3722,Complexe le Confort
515,Tsabong,BW,75.79,clear sky,-26.0217,22.401,Springbok Motel
520,Porto Novo,BJ,86.0,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
524,Barra Do Garcas,BR,85.66,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
525,Jutiapa,GT,86.0,clear sky,14.2833,-89.9,Hotel Ordoñez
531,Capoeiras,BR,76.57,broken clouds,-8.7347,-36.6267,Restaurante & Hotel Deus e Fiel
533,Nhulunbuy,AU,77.0,light rain,-12.2333,136.7667,East Arnhem Real Estate
537,San Felipe,VE,80.19,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
541,Sechura,PE,82.18,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
542,San Lorenzo,PY,84.2,scattered clouds,-25.3333,-57.5333,Canarias Hotel
543,Bonthe,SL,78.51,clear sky,7.5264,-12.505,Bonthe Holiday Village
545,Bonito,BR,76.86,broken clouds,-21.1211,-56.4819,Marruá Hotel
549,Kota Belud,MY,75.2,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
553,Buala,SB,80.06,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
554,Carauari,BR,88.5,heavy intensity rain,-4.8828,-66.8958,Hotel Fellip
555,Kununurra,AU,78.8,overcast clouds,-15.7667,128.7333,Hotel Kununurra
558,Talara,PE,82.4,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
572,Kendari,ID,76.08,overcast clouds,-3.945,122.4989,Hotel Wixel
575,Beloha,MG,79.45,broken clouds,-25.1667,45.05,
577,Chimbote,PE,75.49,broken clouds,-9.0853,-78.5783,Hotel Briliá
580,Laureles,US,81.0,clear sky,26.1092,-97.4941,Los Fresnos Inn
601,Necochea,AR,75.99,clear sky,-38.5473,-58.7368,dyd -mar Hotel
605,San Rafael,AR,85.1,broken clouds,-34.6177,-68.3301,Hotel San Rafael
606,Banda Aceh,ID,77.14,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
613,Koungou,YT,80.6,clear sky,-12.7336,45.2042,Villa Netibor
614,Wajir,KE,83.21,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
622,Olinda,BR,82.4,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
626,Muisne,EC,78.8,light rain,0.6,-80.0333,Quinta Samay
627,Bac Lieu,VN,75.51,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
630,Cururupu,BR,81.21,scattered clouds,-1.8283,-44.8683,Pousada Través'cia
631,Port-Gentil,GA,80.6,light rain,-0.7193,8.7815,Fengshui Residence
632,Vaitape,PF,81.21,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
633,Moron,AR,84.99,clear sky,-34.6534,-58.6198,Hotel Morón
637,Poum,NC,80.4,few clouds,-20.2333,164.0167,Gîte kajeon
639,Maputo,MZ,78.8,light rain,-25.9653,32.5892,Pestana Rovuma
650,Playa Vicente,MX,80.83,clear sky,17.8333,-95.8167,"Hotel ""Imperio"""
652,Mahina,PF,82.0,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
654,Srandakan,ID,76.59,overcast clouds,-7.9386,110.2506,Puri Brata
657,Lastoursville,GA,75.04,light rain,-0.8143,12.7287,Auberge Bon Coin 02
658,Biak,ID,76.39,overcast clouds,-0.9131,122.8766,Penginapan Kim
662,Padang,ID,77.0,scattered clouds,-0.9492,100.3543,Mercure Padang
665,Santa Isabel Do Rio Negro,BR,87.87,overcast clouds,-0.4139,-65.0192,Hotel GSA
666,Luganville,VU,81.23,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
667,Kavaratti,IN,81.12,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
