City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Lagos,NG,6.5833,3.75,81.66,78,0,7.07,clear sky
307,Tateyama,JP,34.9833,139.8667,39.0,51,0,3.0,clear sky
308,Simdega,IN,22.6167,84.5167,56.3,38,0,2.42,clear sky
309,Mount Gambier,AU,-37.8333,140.7667,50.0,100,90,10.36,light rain
310,Auki,SB,-8.7676,160.7034,79.02,85,100,6.8,overcast clouds
311,Comodoro Rivadavia,AR,-45.8667,-67.5,84.2,26,0,14.97,clear sky
312,Xochitlan,MX,18.7,-97.7833,78.19,18,0,9.48,clear sky
313,Hobyo,SO,5.3505,48.5268,76.14,80,10,15.97,clear sky
314,Yanam,IN,16.7333,82.2167,63.81,81,0,2.01,clear sky
315,Atasu,KZ,48.6814,71.6433,21.13,95,100,8.57,overcast clouds
316,Shubarshi,KZ,48.5872,57.1869,32.85,94,97,7.11,overcast clouds
317,Moose Factory,CA,51.2585,-80.6094,37.4,52,20,12.66,few clouds
318,San Andres,CO,12.5847,-81.7006,80.6,78,90,11.5,overcast clouds
319,Chicama,PE,-7.8447,-79.1469,73.4,78,97,9.22,overcast clouds
320,Iquitos,PE,-3.7481,-73.2472,80.6,78,75,3.44,light rain
321,Alofi,NU,-19.0595,-169.9187,77.0,94,90,10.36,light rain
322,Imbituba,BR,-28.24,-48.6703,77.0,83,75,12.66,broken clouds
323,Jumla,NP,29.2747,82.1838,31.28,90,91,3.31,light snow
324,Goure,NE,13.9835,10.2704,73.0,18,0,5.99,clear sky
325,Souillac,MU,-20.5167,57.5167,78.8,78,40,11.5,scattered clouds
326,Wanning,CN,18.8003,110.3967,69.17,76,99,4.14,overcast clouds
327,Lompoc,US,34.6391,-120.4579,66.0,39,1,5.75,clear sky
328,Effingham,US,32.3669,-81.3332,60.8,27,75,6.91,broken clouds
329,Hofn,IS,64.2539,-15.2082,35.46,81,100,13.62,overcast clouds
330,Mount Isa,AU,-20.7333,139.5,80.6,74,95,11.5,overcast clouds
331,Mazagao,BR,-0.115,-51.2894,84.2,79,75,6.91,broken clouds
332,Coihaique,CL,-45.5752,-72.0662,87.8,23,0,8.05,clear sky
333,Wethersfield,US,41.7143,-72.6526,39.2,48,20,5.75,few clouds
334,Nurota,UZ,40.5614,65.6886,37.4,87,99,11.5,mist
335,Sakakah,SA,29.9697,40.2064,55.4,88,75,14.97,broken clouds
336,Roma,US,43.2128,-75.4557,35.6,55,1,10.36,clear sky
337,Khor,RU,47.8861,134.9464,-14.89,85,7,12.75,clear sky
338,Constantine,DZ,36.365,6.6147,57.2,35,0,9.22,clear sky
339,Kavieng,PG,-2.5744,150.7967,82.89,76,51,8.14,broken clouds
340,Darnah,LY,32.767,22.6367,58.32,82,0,14.97,clear sky
341,Ayacucho,PE,-13.1583,-74.2239,68.0,45,75,6.91,broken clouds
342,Rincon,US,32.296,-81.2354,60.8,27,75,6.91,broken clouds
343,Cidreira,BR,-30.1811,-50.2056,72.52,73,15,22.91,few clouds
344,Vardo,NO,70.3705,31.1107,26.6,86,75,17.27,light snow
345,Novaya Zaimka,RU,56.4857,66.9241,18.1,97,100,8.19,light snow
346,Mildura,AU,-34.2,142.15,59.0,63,75,10.36,light rain
347,Saint George,US,37.1041,-113.5841,55.0,29,1,2.75,clear sky
